2022-09-30 21:39:13,654 [Worker-2: Creating project "casestudy"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hepsiburada:casestudy:0.0.1-SNAPSHOT @ C:\Users\freedevs\eclipse-workspace\casestudy\casestudy\pom.xml.
2022-09-30 21:45:43,850 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:49,474 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:49,476 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:45:49,609 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:49,612 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:53,011 [Worker-2: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 21:45:53,011 [Worker-2: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 21:46:03,304 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:03,307 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:46:03,309 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:03,311 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:46:12,513 [Worker-1: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 21:46:12,514 [Worker-1: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 21:46:22,597 [Worker-7: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:22,600 [Worker-7: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:46:22,602 [Worker-7: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:22,604 [Worker-7: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:46:29,972 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:29,974 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:46:30,111 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:46:30,113 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:58:17,146 [Worker-1: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 21:58:17,147 [Worker-1: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 21:58:30,323 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:58:30,325 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:58:30,329 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:58:30,331 [Worker-1: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 22:00:01,785 [Worker-2: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 22:00:01,787 [Worker-2: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 22:00:01,792 [Worker-2: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 22:00:01,795 [Worker-2: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 22:00:13,732 [Worker-8: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 22:00:13,733 [Worker-8: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 22:01:40,727 [Worker-8: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 22:01:40,730 [Worker-8: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 22:01:40,732 [Worker-8: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
